2026-04-14T17:41:13: [watchdog] starting — checks every 5 min, stale threshold 15 min
2026-04-15T06:46:13: [06:46:13] healthy — lastSyncAt 2026-04-15T05:44:41.225Z (1 min ago, threshold 15)
2026-04-15T06:51:13: [06:51:13] healthy — lastSyncAt 2026-04-15T05:50:39.810Z (0 min ago, threshold 15)
2026-04-15T06:56:13: [06:56:13] healthy — lastSyncAt 2026-04-15T05:54:39.811Z (1 min ago, threshold 15)
2026-04-15T07:01:13: [07:01:13] healthy — lastSyncAt 2026-04-15T06:00:40.782Z (0 min ago, threshold 15)
2026-04-15T07:06:13: [07:06:13] healthy — lastSyncAt 2026-04-15T06:04:40.074Z (1 min ago, threshold 15)
2026-04-15T07:11:13: [07:11:13] healthy — lastSyncAt 2026-04-15T06:10:39.958Z (0 min ago, threshold 15)
2026-04-15T07:16:13: [07:16:13] healthy — lastSyncAt 2026-04-15T06:14:40.242Z (1 min ago, threshold 15)
2026-04-15T07:21:13: [07:21:13] healthy — lastSyncAt 2026-04-15T06:20:39.912Z (0 min ago, threshold 15)
2026-04-15T07:26:13: [07:26:13] healthy — lastSyncAt 2026-04-15T06:24:39.952Z (1 min ago, threshold 15)
2026-04-15T07:31:13: [07:31:13] healthy — lastSyncAt 2026-04-15T06:30:39.784Z (0 min ago, threshold 15)
2026-04-15T07:36:13: [07:36:13] healthy — lastSyncAt 2026-04-15T06:34:40.986Z (1 min ago, threshold 15)
2026-04-15T07:41:13: [07:41:13] healthy — lastSyncAt 2026-04-15T06:40:39.985Z (0 min ago, threshold 15)
2026-04-15T07:46:13: [07:46:13] healthy — lastSyncAt 2026-04-15T06:44:39.924Z (1 min ago, threshold 15)
2026-04-15T07:51:13: [07:51:13] healthy — lastSyncAt 2026-04-15T06:50:40.529Z (0 min ago, threshold 15)
2026-04-15T07:56:13: [07:56:13] healthy — lastSyncAt 2026-04-15T06:54:40.572Z (1 min ago, threshold 15)
2026-04-15T08:01:13: [08:01:13] healthy — lastSyncAt 2026-04-15T07:00:40.862Z (0 min ago, threshold 15)
2026-04-15T08:06:13: [08:06:13] healthy — lastSyncAt 2026-04-15T07:04:41.752Z (1 min ago, threshold 15)
2026-04-15T08:11:13: [08:11:13] healthy — lastSyncAt 2026-04-15T07:10:41.011Z (0 min ago, threshold 15)
2026-04-15T08:16:13: [08:16:13] healthy — lastSyncAt 2026-04-15T07:14:43.207Z (1 min ago, threshold 15)
2026-04-15T08:21:13: [08:21:13] healthy — lastSyncAt 2026-04-15T07:20:42.033Z (0 min ago, threshold 15)
2026-04-15T08:26:13: [08:26:13] healthy — lastSyncAt 2026-04-15T07:24:43.014Z (1 min ago, threshold 15)
2026-04-15T08:31:13: [08:31:13] healthy — lastSyncAt 2026-04-15T07:30:40.717Z (0 min ago, threshold 15)
2026-04-15T08:36:13: [08:36:13] healthy — lastSyncAt 2026-04-15T07:34:40.957Z (1 min ago, threshold 15)
2026-04-15T08:41:13: [08:41:13] healthy — lastSyncAt 2026-04-15T07:40:40.355Z (0 min ago, threshold 15)
2026-04-15T08:46:13: [08:46:13] healthy — lastSyncAt 2026-04-15T07:44:40.491Z (1 min ago, threshold 15)
2026-04-15T08:51:13: [08:51:13] healthy — lastSyncAt 2026-04-15T07:50:20.379Z (0 min ago, threshold 15)
2026-04-15T08:56:13: [08:56:13] healthy — lastSyncAt 2026-04-15T07:54:38.616Z (1 min ago, threshold 15)
2026-04-15T09:01:13: [09:01:13] healthy — lastSyncAt 2026-04-15T08:00:51.919Z (0 min ago, threshold 15)
2026-04-15T09:06:13: [09:06:13] healthy — lastSyncAt 2026-04-15T08:04:52.802Z (1 min ago, threshold 15)
2026-04-15T09:11:13: [09:11:13] healthy — lastSyncAt 2026-04-15T08:10:51.404Z (0 min ago, threshold 15)
2026-04-15T09:16:13: [09:16:13] healthy — lastSyncAt 2026-04-15T08:14:52.868Z (1 min ago, threshold 15)
2026-04-15T09:21:13: [09:21:13] healthy — lastSyncAt 2026-04-15T08:20:51.247Z (0 min ago, threshold 15)
2026-04-15T09:26:13: [09:26:13] healthy — lastSyncAt 2026-04-15T08:24:51.082Z (1 min ago, threshold 15)
2026-04-15T09:31:13: [09:31:13] healthy — lastSyncAt 2026-04-15T08:30:52.683Z (0 min ago, threshold 15)
2026-04-15T09:36:13: [09:36:13] healthy — lastSyncAt 2026-04-15T08:34:52.449Z (1 min ago, threshold 15)
2026-04-15T09:41:13: [09:41:13] healthy — lastSyncAt 2026-04-15T08:40:51.757Z (0 min ago, threshold 15)
2026-04-15T09:46:13: [09:46:13] healthy — lastSyncAt 2026-04-15T08:44:51.221Z (1 min ago, threshold 15)
2026-04-15T09:51:13: [09:51:13] healthy — lastSyncAt 2026-04-15T08:50:52.941Z (0 min ago, threshold 15)
2026-04-15T09:56:13: [09:56:13] healthy — lastSyncAt 2026-04-15T08:54:50.662Z (1 min ago, threshold 15)
2026-04-15T10:01:13: [10:01:13] healthy — lastSyncAt 2026-04-15T09:00:51.319Z (0 min ago, threshold 15)
2026-04-15T10:06:13: [10:06:13] healthy — lastSyncAt 2026-04-15T09:04:51.979Z (1 min ago, threshold 15)
2026-04-15T10:11:13: [10:11:13] healthy — lastSyncAt 2026-04-15T09:10:52.210Z (0 min ago, threshold 15)
2026-04-15T10:16:13: [10:16:13] healthy — lastSyncAt 2026-04-15T09:14:52.964Z (1 min ago, threshold 15)
2026-04-15T10:21:13: [10:21:13] healthy — lastSyncAt 2026-04-15T09:20:52.676Z (0 min ago, threshold 15)
2026-04-15T10:26:13: [10:26:13] healthy — lastSyncAt 2026-04-15T09:24:53.478Z (1 min ago, threshold 15)
2026-04-15T10:31:13: [10:31:13] healthy — lastSyncAt 2026-04-15T09:30:52.530Z (0 min ago, threshold 15)
2026-04-15T10:36:13: [10:36:13] watchdog probe failed: fetch failed
